Age,Educational_level,Screening_time,health_problems,Irregular_eating_habits,hobby_hours,increased_sleep_hours                                                                                                                          ,social_media_hours,Exercise,depressiveness,anxiety_interference,overthinking,concentration_difficulty,online_difficulty_level,focus_level
13 to 15 years,Secondary School,2 to 3 hours,No,No,2,4,3,Rarely,Occasionally,Yes,Yes,1,5,1
16 to 18 years,Higher Secondary School,3 to 4 hours,Yes,Yes,1,4,3,Sometimes,Never,Yes,May be,1,1,5
16 to 18 years,Secondary School,2 to 3 hours,Yes,Yes,1,2,3,Rarely,Occasionally,Maybe,Yes,5,4,5
16 to 18 years,Higher Secondary School,4 to 5 hours,Yes,Yes,0,2,3,Sometimes,Occasionally,Yes,Yes,4,5,3
16 to 18 years,Higher Secondary School,4 to 5 hours,No,No,1,2,2,Rarely,Never,No,No,2,3,3
16 to 18 years,Under Graduate,4 to 5 hours,Yes,Yes,2,2,3,Rarely,Occasionally,No,Yes,3,3,3
16 to 18 years,Higher Secondary School,4 to 5 hours,Yes,Yes,1,4,3,Never,All the time,Yes,Yes,4,5,4
16 to 18 years,Secondary School,2 to 3 hours,No,No,1,3,3,Rarely,Occasionally,No,May be,4,4,5
18 to 22 years,Under Graduate,2 to 3 hours,Yes,Yes,1,2,3,Rarely,Occasionally,Yes,Yes,2,4,5
18 to 22 years,Under Graduate,4 to 5 hours,Yes,Yes,1,2,3,Sometimes,Occasionally,Yes,Yes,4,4,3
13 to 15 years,Secondary School,2 to 3 hours,No,No,2,3,2,Rarely,Rarely,No,No,2,2,3
16 to 18 years,Higher Secondary School,3 to 4 hours,Yes,Yes,1,2,3,Sometimes,Occasionally,Yes,Yes,4,3,3
18 to 22 years,Under Graduate,5 to 6 hours,Yes,Yes,2,2,3,Sometimes,Occasionally,No,May be,5,3,5
18 to 22 years,Under Graduate,2 to 3 hours,No,No,1,2,2,Always,Rarely,Maybe,Yes,2,1,3
18 to 22 years,Under Graduate,5 to 6 hours,Yes,Yes,1,2,3,Sometimes,Rarely,No,No,3,3,3
16 to 18 years,Secondary School,2 to 3 hours,Yes,No,1,3,3,Rarely,Occasionally,No,May be,4,4,5
18 to 22 years,Under Graduate,2 to 3 hours,Yes,Yes,1,2,3,Rarely,Occasionally,Yes,Yes,2,4,5
18 to 22 years,Under Graduate,4 to 5 hours,Yes,Yes,1,2,3,Sometimes,Occasionally,Yes,Yes,4,4,3
18 to 22 years,Secondary School,2 to 3 hours,Yes,No,2,3,3,Rarely,Rarely,No,No,2,2,3
16 to 18 years,Higher Secondary School,3 to 4 hours,Yes,Yes,1,2,3,Sometimes,Occasionally,Yes,Yes,4,3,3
13 to 15 years,Secondary School,2 to 3 hours,No,Yes,2,3,3,Rarely,All the time,Yes,Yes,3,3,2
13 to 15 years,Secondary School,2 to 3 hours,NA,Yes,1,3,3,Sometimes,Rarely,Maybe,Yes,4,4,4
13 to 15 years,Secondary School,2 to 3 hours,Yes,Yes,1,3,3,Never,Never,No,No,3,2,3
13 to 15 years,Secondary School,2 to 3 hours,No,No,2,4,2,Always,Occasionally,Yes,No,3,3,3
16 to 18 years,Higher Secondary School,3 to 4 hours,No,No,2,3,2,Always,All the time,Yes,No,5,1,5
16 to 18 years,Higher Secondary School,3 to 4 hours,No,No,2,3,2,Always,Rarely,Maybe,No,3,4,3
16 to 18 years,Higher Secondary School,3 to 4 hours,No,No,2,3,2,Always,Rarely,No,No,2,3,2
16 to 18 years,Higher Secondary School,3 to 4 hours,Yes,Yes,2,3,2,Sometimes,Never,No,No,4,3,4
16 to 18 years,Higher Secondary School,3 to 4 hours,No,Yes,2,3,2,Sometimes,All the time,Yes,Yes,4,3,4
16 to 18 years,Higher Secondary School,3 to 4 hours,Yes,Yes,1,3,2,Sometimes,All the time,Yes,May be,3,4,3
16 to 18 years,Higher Secondary School,3 to 4 hours,No,Yes,1,2,2,Sometimes,Occasionally,Yes,Yes,3,3,3
16 to 18 years,Higher Secondary School,3 to 4 hours,No,No,2,2,2,Always,All the time,Maybe,Yes,2,4,2
16 to 18 years,Higher Secondary School,3 to 4 hours,No,No,2,2,2,Sometimes,Occasionally,Yes,Yes,3,3,3
18 to 22 years,Under Graduate,4 to 5 hours,No,Yes,1,2,2,Rarely,Rarely,Yes,Yes,4,4,4
18 to 22 years,Under Graduate,4 to 5 hours,Yes,Yes,1,2,2,Sometimes,Never,No,No,4,3,4
18 to 22 years,Under Graduate,4 to 5 hours,Yes,Yes,1,2,2,Sometimes,Occasionally,Yes,Yes,4,5,4
13 to 15 years,Secondary School,2 to 3 hours,No,No,2,4,2,Always,Occasionally,Yes,Yes,2,2,2
13 to 15 years,Secondary School,2 to 3 hours,NA,No,2,4,2,Sometimes,All the time,Yes,No,3,4,2
13 to 15 years,Secondary School,2 to 3 hours,Yes,Yes,1,3,4,Sometimes,Occasionally,Maybe,May be,2,3,2
13 to 15 years,Secondary School,2 to 3 hours,No,No,1,3,2,Never,Occasionally,No,May be,2,5,2
23 to 26 years,Post Graduate,5 to 6 hours,Yes,Yes,0,1,0,Sometimes,Occasionally,Yes,Yes,3,5,4
23 to 26 years,Post Graduate,5 to 6 hours,Yes,Yes,0,0,0,Sometimes,Occasionally,Yes,Yes,4,5,3
23 to 26 years,Post Graduate,5 to 6 hours,Yes,Yes,1,0,0,Never,Occasionally,Yes,Yes,4,5,4
18 to 22 years,Under Graduate,5 to 6 hours,No,No,0,1,4,Sometimes,Occasionally,Yes,Yes,3,3,3
18 to 22 years,Under Graduate,5 to 6 hours,No,No,1,2,3,Always,Occasionally,No,Yes,2,2,2
18 to 22 years,Under Graduate,5 to 6 hours,No,No,1,2,3,Always,Never,Yes,No,3,2,3
18 to 22 years,Under Graduate,4 to 5 hours,No,No,1,2,3,Always,Occasionally,Yes,Yes,4,4,4
13 to 15 years,Secondary School,2 to 3 hours,No,No,2,4,3,Sometimes,Occasionally,Yes,Yes,2,2,2
16 to 18 years,Secondary School,2 to 3 hours,No,No,1,3,2,Rarely,Occasionally,No,May be,4,4,5
18 to 22 years,Under Graduate,2 to 3 hours,Yes,Yes,1,2,2,Rarely,Occasionally,Yes,Yes,2,4,5
18 to 22 years,Under Graduate,4 to 5 hours,Yes,Yes,1,2,3,Sometimes,Occasionally,Yes,Yes,4,4,3
13 to 15 years,Secondary School,2 to 3 hours,No,No,2,3,3,Rarely,Rarely,No,No,2,2,3
16 to 18 years,Higher Secondary School,3 to 4 hours,Yes,Yes,1,2,3,Sometimes,Occasionally,Yes,Yes,4,3,3
18 to 22 years,Under Graduate,4 to 5 hours,No,No,1,2,2,Always,Rarely,Maybe,May be,3,3,3
18 to 22 years,Under Graduate,5 to 6 hours,Yes,Yes,0,0,2,Sometimes,Occasionally,Maybe,Yes,4,3,4
18 to 22 years,Under Graduate,5 to 6 hours,Yes,Yes,0,0,2,Sometimes,Occasionally,Maybe,Yes,4,3,4
16 to 18 years,Higher Secondary School,3 to 4 hours,No,No,2,2,2,Always,All the time,Yes,No,5,3,5
18 to 22 years,Under Graduate,4 to 5 hours,No,No,1,2,2,Always,Rarely,No,No,4,3,4
16 to 18 years,Higher Secondary School,3 to 4 hours,Yes,No,2,2,2,Always,Occasionally,Yes,No,5,3,5
16 to 18 years,Higher Secondary School,3 to 4 hours,No,No,2,2,2,Always,Occasionally,Maybe,No,2,3,2
13 to 15 years,Secondary School,2 to 3 hours,No,No,2,4,2,Always,Occasionally,Maybe,No,3,3,3
13 to 15 years,Secondary School,2 to 3 hours,No,No,1,3,2,Always,Rarely,Yes,No,3,3,3
13 to 15 years,Secondary School,2 to 3 hours,Yes,No,2,3,3,Sometimes,Rarely,No,No,2,3,2
18 to 22 years,Under Graduate,5 to 6 hours,Yes,Yes,0,0,3,Sometimes,Occasionally,Maybe,Yes,4,3,4
16 to 18 years,Higher Secondary School,3 to 4 hours,No,No,2,2,2,Always,All the time,Yes,No,5,3,5
18 to 22 years,Under Graduate,4 to 5 hours,No,No,1,2,2,Always,Rarely,No,No,4,3,4
16 to 18 years,Higher Secondary School,3 to 4 hours,Yes,No,2,2,4,Always,Occasionally,Yes,No,5,3,5
16 to 18 years,Higher Secondary School,3 to 4 hours,No,No,2,2,2,Always,Occasionally,Maybe,No,2,3,2
13 to 15 years,Secondary School,2 to 3 hours,No,No,2,4,2,Always,Occasionally,Maybe,No,3,3,3
13 to 15 years,Secondary School,2 to 3 hours,Yes,No,1,3,4,Always,Rarely,Yes,No,3,3,3
13 to 15 years,Secondary School,2 to 3 hours,Yes,No,2,3,4,Sometimes,Rarely,No,No,2,3,2
13 to 15 years,Secondary School,2 to 3 hours,Yes,Yes,1,3,4,Sometimes,Rarely,Maybe,Yes,3,3,3
18 to 22 years,Under Graduate,4 to 5 hours,Yes,Yes,1,2,4,Sometimes,Occasionally,Maybe,Yes,4,3,4
18 to 22 years,Under Graduate,4 to 5 hours,Yes,Yes,1,1,4,Rarely,Occasionally,Maybe,Yes,4,4,4
18 to 22 years,Under Graduate,4 to 5 hours,Yes,Yes,1,1,4,Sometimes,Occasionally,Yes,No,5,5,5
18 to 22 years,Under Graduate,4 to 5 hours,No,No,1,1,4,Sometimes,Rarely,No,No,3,1,3
23 to 26 years,Post Graduate,5 to 6 hours,No,No,0,0,0,Rarely,Occasionally,Yes,Yes,5,5,5
23 to 26 years,Post Graduate,5 to 6 hours,Yes,May be,0,0,0,Always,All the time,Yes,No,5,5,5
23 to 26 years,Post Graduate,5 to 6 hours,Yes,May be,0,0,2,Sometimes,Occasionally,Maybe,May be,4,4,4
13 to 15 years,Secondary School,2 to 3 hours,No,No,2,4,4,Rarely,Rarely,Yes,Yes,5,5,5
23 to 26 years,Post Graduate,5 to 6 hours,Yes,Yes,0,0,0,Never,Rarely,No,May be,5,4,5
23 to 26 years,Post Graduate,5 to 6 hours,No,No,0,0,0,Sometimes,Occasionally,Maybe,Yes,5,4,5
23 to 26 years,Post Graduate,5 to 6 hours,Yes,Yes,0,0,0,Rarely,Occasionally,Yes,Yes,5,4,5
23 to 26 years,Post Graduate,5 to 6 hours,Yes,Yes,0,0,0,Sometimes,Never,No,No,4,3,4
18 to 22 years,Under Graduate,4 to 5 hours,Yes,Yes,0,1,2,Sometimes,Rarely,Yes,Yes,4,2,4
18 to 22 years,Under Graduate,4 to 5 hours,Yes,Yes,1,1,2,Sometimes,Rarely,Maybe,May be,3,2,3
18 to 22 years,Under Graduate,4 to 5 hours,Yes,Yes,1,1,3,Sometimes,Occasionally,No,Yes,3,4,4
18 to 22 years,Under Graduate,4 to 5 hours,No,No,0,1,3,Sometimes,Occasionally,Maybe,May be,3,4,4
18 to 22 years,Under Graduate,4 to 5 hours,No,Yes,0,1,3,Rarely,Never,Maybe,No,4,3,4
13 to 15 years,Secondary School,2 to 3 hours,No,No,2,4,3,Never,All the time,Yes,Yes,3,2,3
13 to 15 years,Secondary School,2 to 3 hours,No,No,2,4,3,Always,All the time,Yes,No,3,5,3
23 to 26 years,Post Graduate,5 to 6 hours,No,No,0,1,0,Always,All the time,Yes,Yes,5,4,5
23 to 26 years,Post Graduate,5 to 6 hours,Yes,Yes,0,1,0,Always,Never,No,May be,5,4,4
23 to 26 years,Post Graduate,5 to 6 hours,No,No,0,1,0,Sometimes,Occasionally,No,No,5,4,5
18 to 22 years,Under Graduate,4 to 5 hours,Yes,Yes,0,2,4,Rarely,All the time,Yes,Yes,5,4,5
18 to 22 years,Under Graduate,4 to 5 hours,Yes,Yes,0,1,4,Sometimes,Rarely,No,No,3,2,4
18 to 22 years,Under Graduate,4 to 5 hours,Yes,Yes,0,1,4,Rarely,Occasionally,Yes,Yes,4,4,4
23 to 26 years,Post Graduate,5 to 6 hours,Yes,Yes,0,1,0,Sometimes,Rarely,Yes,Yes,4,4,4
23 to 26 years,Post Graduate,5 to 6 hours,Yes,May be,0,1,0,Never,Occasionally,Yes,Yes,5,4,5
16 to 18 years,Under Graduate,4 to 5 hours,Yes,Yes,2,2,1,Rarely,Occasionally,No,Yes,3,3,3
16 to 18 years,Higher Secondary School,4 to 5 hours,Yes,Yes,1,4,4,Never,All the time,Yes,Yes,4,5,4
16 to 18 years,Secondary School,2 to 3 hours,No,No,1,3,2,Rarely,Occasionally,No,May be,4,4,5
18 to 22 years,Under Graduate,2 to 3 hours,Yes,Yes,1,2,2,Rarely,Occasionally,Yes,Yes,2,4,5
18 to 22 years,Under Graduate,4 to 5 hours,Yes,Yes,1,2,3,Sometimes,Occasionally,Yes,Yes,4,4,3
23 to 26 years,Post Graduate,5 to 6 hours,Yes,Yes,0,1,0,Never,All the time,Maybe,May be,5,4,5
18 to 22 years,Under Graduate,4 to 5 hours,No,No,1,2,2,Always,Never,Yes,No,4,5,4
23 to 26 years,Post Graduate,5 to 6 hours,No,May be,0,0,0,Always,Occasionally,Yes,Yes,4,3,5
16 to 18 years,Higher Secondary School,4 to 5 hours,Yes,Yes,1,4,4,Never,All the time,Yes,Yes,4,5,4
16 to 18 years,Secondary School,2 to 3 hours,No,No,1,3,2,Rarely,Occasionally,No,May be,4,4,5
18 to 22 years,Under Graduate,2 to 3 hours,Yes,Yes,1,2,2,Rarely,Occasionally,Yes,Yes,2,4,5
13 to 15 years,Secondary School,2 to 3 hours,Yes,Yes,1,3,4,Sometimes,Rarely,Maybe,Yes,3,3,3
18 to 22 years,Under Graduate,4 to 5 hours,No,No,1,2,3,Rarely,Occasionally,Yes,No,4,2,4
18 to 22 years,Under Graduate,4 to 5 hours,No,No,1,2,3,Sometimes,Occasionally,Maybe,Yes,4,5,4
18 to 22 years,Under Graduate,4 to 5 hours,No,No,1,1,3,Sometimes,Never,No,May be,4,3,4
18 to 22 years,Under Graduate,4 to 5 hours,No,No,1,1,3,Always,Occasionally,No,Yes,5,2,5
18 to 22 years,Under Graduate,4 to 5 hours,No,No,1,1,3,Sometimes,Rarely,No,No,3,1,3
16 to 18 years,Higher Secondary School,3 to 4 hours,Yes,No,2,2,3,Sometimes,Occasionally,No,May be,4,3,4
16 to 18 years,Higher Secondary School,3 to 4 hours,Yes,No,2,2,3,Sometimes,Rarely,Yes,May be,2,3,2
18 to 22 years,Under Graduate,4 to 5 hours,Yes,Yes,1,1,3,Never,Rarely,Maybe,Yes,5,3,5
23 to 26 years,Post Graduate,5 to 6 hours,No,No,0,0,0,Rarely,Occasionally,Yes,Yes,5,5,5
23 to 26 years,Post Graduate,5 to 6 hours,Yes,May be,0,0,2,Always,All the time,Yes,No,5,5,5
23 to 26 years,Post Graduate,5 to 6 hours,Yes,May be,0,0,2,Sometimes,Occasionally,Maybe,May be,4,4,4
13 to 15 years,Secondary School,2 to 3 hours,No,No,2,4,2,Rarely,Rarely,Yes,Yes,5,5,5
23 to 26 years,Post Graduate,5 to 6 hours,Yes,Yes,0,0,2,Never,Rarely,No,May be,5,4,5
23 to 26 years,Post Graduate,5 to 6 hours,No,No,0,0,0,Sometimes,Occasionally,Maybe,Yes,5,4,5
18 to 22 years,Under Graduate,4 to 5 hours,No,No,0,2,1,Sometimes,All the time,Yes,No,4,4,4
18 to 22 years,Under Graduate,4 to 5 hours,No,No,0,2,1,Always,Occasionally,No,Yes,5,5,5
18 to 22 years,Under Graduate,4 to 5 hours,Yes,Yes,0,2,4,Sometimes,Occasionally,Maybe,Yes,3,1,2
16 to 18 years,Higher Secondary School,4 to 5 hours,Yes,Yes,0,2,2,Sometimes,Occasionally,Yes,Yes,4,5,3
16 to 18 years,Higher Secondary School,4 to 5 hours,No,No,1,2,3,Rarely,Never,No,No,2,3,3
16 to 18 years,Under Graduate,4 to 5 hours,Yes,Yes,2,2,1,Rarely,Occasionally,No,Yes,3,3,3
16 to 18 years,Higher Secondary School,4 to 5 hours,Yes,Yes,1,4,4,Never,All the time,Yes,Yes,4,5,4
16 to 18 years,Secondary School,2 to 3 hours,No,No,1,3,2,Rarely,Occasionally,No,May be,4,4,5
18 to 22 years,Under Graduate,2 to 3 hours,Yes,Yes,1,2,2,Rarely,Occasionally,Yes,Yes,2,4,5
18 to 22 years,Under Graduate,4 to 5 hours,Yes,Yes,1,2,3,Sometimes,Occasionally,Yes,Yes,4,4,3
13 to 15 years,Secondary School,2 to 3 hours,No,No,2,3,3,Rarely,Rarely,No,No,2,2,3
16 to 18 years,Higher Secondary School,3 to 4 hours,No,Yes,1,2,3,Sometimes,Occasionally,Yes,Yes,4,3,3
18 to 22 years,Under Graduate,5 to 6 hours,Yes,Yes,2,2,3,Sometimes,Occasionally,No,May be,5,3,5
18 to 22 years,Under Graduate,2 to 3 hours,No,No,1,2,4,Always,Rarely,Maybe,Yes,2,1,3
18 to 22 years,Under Graduate,5 to 6 hours,Yes,Yes,1,2,2,Sometimes,Rarely,No,No,3,3,3
16 to 18 years,Secondary School,2 to 3 hours,Yes,No,1,3,2,Rarely,Occasionally,No,May be,4,4,5
13 to 15 years,Secondary School,2 to 3 hours,No,No,2,4,1,Always,Occasionally,No,No,2,2,2
16 to 18 years,Higher Secondary School,3 to 4 hours,No,May be,1,3,1,Always,Rarely,No,May be,2,4,3
18 to 22 years,Under Graduate,4 to 5 hours,No,No,1,2,1,Always,Rarely,Maybe,No,3,4,3
23 to 26 years,Post Graduate,5 to 6 hours,No,No,0,1,1,Always,Rarely,No,No,4,4,4
13 to 15 years,Secondary School,2 to 3 hours,Yes,Yes,2,3,4,Rarely,Rarely,Maybe,No,2,2,2
13 to 15 years,Secondary School,2 to 3 hours,Yes,Yes,2,3,4,Rarely,Never,No,May be,4,2,5
16 to 18 years,Higher Secondary School,3 to 4 hours,Yes,May be,1,2,4,Sometimes,Occasionally,Maybe,Yes,5,4,5
16 to 18 years,Higher Secondary School,3 to 4 hours,No,May be,1,3,4,Sometimes,Rarely,No,Yes,4,3,4
16 to 18 years,Higher Secondary School,3 to 4 hours,Yes,May be,1,3,4,Never,All the time,Maybe,May be,1,4,1
16 to 18 years,Higher Secondary School,3 to 4 hours,Yes,May be,1,3,4,Sometimes,Never,No,Yes,1,3,1
16 to 18 years,Higher Secondary School,3 to 4 hours,Yes,May be,1,3,4,Sometimes,Never,No,No,3,4,2
13 to 15 years,Secondary School,2 to 3 hours,No,May be,2,4,4,Rarely,Rarely,Maybe,Yes,2,5,2
13 to 15 years,Secondary School,2 to 3 hours,NA,No,2,4,4,Always,All the time,Yes,No,3,5,3
13 to 15 years,Secondary School,2 to 3 hours,No,No,2,4,4,Always,Rarely,Yes,No,2,4,2
13 to 15 years,Secondary School,2 to 3 hours,No,No,2,4,4,Always,Rarely,No,Yes,2,4,2
13 to 15 years,Secondary School,2 to 3 hours,No,No,2,3,4,Always,Never,No,No,3,4,2
13 to 15 years,Secondary School,2 to 3 hours,NA,May be,2,3,4,Rarely,All the time,Yes,Yes,3,4,2
13 to 15 years,Secondary School,2 to 3 hours,Yes,May be,1,3,4,Sometimes,Rarely,No,May be,3,5,2
13 to 15 years,Secondary School,2 to 3 hours,No,May be,1,3,2,Rarely,Rarely,Maybe,No,2,5,2
16 to 18 years,Higher Secondary School,3 to 4 hours,No,No,1,2,2,Always,Never,No,No,3,2,3
16 to 18 years,Higher Secondary School,3 to 4 hours,No,No,1,2,2,Always,Occasionally,Maybe,May be,4,3,4
16 to 18 years,Higher Secondary School,3 to 4 hours,No,No,1,2,2,Always,Never,Maybe,Yes,4,2,4
16 to 18 years,Higher Secondary School,3 to 4 hours,No,No,2,2,2,Always,Rarely,Yes,Yes,1,2,1
16 to 18 years,Higher Secondary School,3 to 4 hours,No,No,1,2,2,Always,All the time,Yes,No,4,3,4
23 to 26 years,Post Graduate,5 to 6 hours,No,No,0,0,0,Always,All the time,Yes,No,3,4,3
23 to 26 years,Post Graduate,5 to 6 hours,No,No,0,0,0,Always,Occasionally,Maybe,No,4,2,4
23 to 26 years,Post Graduate,5 to 6 hours,Yes,Yes,0,0,0,Sometimes,Rarely,Yes,Yes,2,4,2
23 to 26 years,Post Graduate,5 to 6 hours,Yes,Yes,0,0,0,Sometimes,Rarely,Maybe,May be,3,3,3
13 to 15 years,Secondary School,2 to 3 hours,No,Yes,2,4,2,Rarely,All the time,Yes,Yes,3,3,3
13 to 15 years,Secondary School,2 to 3 hours,Yes,Yes,2,4,4,Sometimes,Occasionally,Yes,Yes,4,3,4
18 to 22 years,Under Graduate,4 to 5 hours,No,May be,1,2,3,Rarely,All the time,Yes,Yes,5,3,5
18 to 22 years,Under Graduate,4 to 5 hours,Yes,May be,1,2,3,Rarely,All the time,Yes,Yes,3,3,3
18 to 22 years,Under Graduate,4 to 5 hours,No,No,1,2,3,Always,Rarely,No,No,4,1,4
18 to 22 years,Under Graduate,4 to 5 hours,Yes,Yes,1,2,3,Rarely,Occasionally,Yes,Yes,3,3,3
18 to 22 years,Under Graduate,4 to 5 hours,Yes,Yes,1,2,3,Rarely,Rarely,No,Yes,3,1,3
13 to 15 years,Secondary School,2 to 3 hours,No,No,2,4,3,Always,All the time,Yes,No,3,3,3
13 to 15 years,Secondary School,2 to 3 hours,Yes,Yes,1,3,3,Never,Occasionally,Yes,Yes,4,3,4
13 to 15 years,Secondary School,2 to 3 hours,Yes,Yes,2,3,3,Rarely,Rarely,Maybe,May be,2,4,2
13 to 15 years,Secondary School,2 to 3 hours,Yes,Yes,2,3,3,Rarely,All the time,Yes,Yes,2,3,2
13 to 15 years,Secondary School,2 to 3 hours,No,Yes,2,3,3,Rarely,All the time,Yes,Yes,3,3,2
13 to 15 years,Secondary School,2 to 3 hours,NA,Yes,1,3,3,Sometimes,Rarely,Maybe,Yes,4,4,4
13 to 15 years,Secondary School,2 to 3 hours,Yes,Yes,1,3,3,Never,Never,No,No,3,2,3
13 to 15 years,Secondary School,2 to 3 hours,No,No,2,4,3,Always,Occasionally,Yes,No,3,3,3
16 to 18 years,Higher Secondary School,3 to 4 hours,No,No,2,3,3,Always,All the time,Yes,No,5,1,5
16 to 18 years,Higher Secondary School,3 to 4 hours,No,No,2,3,3,Always,Rarely,Maybe,No,3,4,3
16 to 18 years,Higher Secondary School,3 to 4 hours,No,No,2,3,3,Always,Rarely,No,No,2,3,2
16 to 18 years,Higher Secondary School,3 to 4 hours,Yes,Yes,2,3,3,Sometimes,Never,No,No,4,3,4
16 to 18 years,Higher Secondary School,3 to 4 hours,No,Yes,2,3,3,Sometimes,All the time,Yes,Yes,4,3,4
16 to 18 years,Higher Secondary School,3 to 4 hours,Yes,Yes,1,3,3,Sometimes,All the time,Yes,May be,3,4,3
13 to 15 years,Secondary School,2 to 3 hours,Yes,Yes,2,4,3,Never,All the time,Yes,Yes,4,4,4
13 to 15 years,Secondary School,2 to 3 hours,Yes,Yes,2,4,3,Rarely,All the time,Yes,May be,3,4,3
13 to 15 years,Secondary School,2 to 3 hours,No,No,2,4,3,Always,Occasionally,Maybe,No,4,3,3
13 to 15 years,Secondary School,2 to 3 hours,No,No,2,4,3,Always,Rarely,Maybe,May be,4,3,3
13 to 15 years,Secondary School,2 to 3 hours,No,No,2,3,3,Always,Occasionally,Yes,No,3,1,3
16 to 18 years,Higher Secondary School,3 to 4 hours,Yes,Yes,1,2,3,Sometimes,Occasionally,Yes,Yes,2,3,2
16 to 18 years,Higher Secondary School,3 to 4 hours,Yes,Yes,1,2,3,Sometimes,Occasionally,Maybe,May be,5,3,5
16 to 18 years,Higher Secondary School,3 to 4 hours,Yes,Yes,1,2,4,Rarely,Occasionally,Yes,Yes,5,3,5
16 to 18 years,Higher Secondary School,3 to 4 hours,Yes,Yes,1,2,4,Rarely,All the time,Yes,Yes,5,2,5
16 to 18 years,Higher Secondary School,3 to 4 hours,No,No,1,2,3,Always,Rarely,No,No,4,2,4
16 to 18 years,Higher Secondary School,3 to 4 hours,NA,No,2,3,3,Always,Rarely,Maybe,No,3,3,3
16 to 18 years,Higher Secondary School,3 to 4 hours,No,No,2,3,3,Always,Occasionally,Maybe,No,3,4,3
16 to 18 years,Higher Secondary School,3 to 4 hours,No,No,2,3,3,Always,Never,No,No,4,3,3
16 to 18 years,Higher Secondary School,3 to 4 hours,No,No,2,3,3,Always,Occasionally,Yes,Yes,4,3,4
16 to 18 years,Higher Secondary School,3 to 4 hours,No,No,2,3,3,Always,Rarely,No,No,4,3,4
16 to 18 years,Higher Secondary School,3 to 4 hours,No,No,2,3,3,Sometimes,Occasionally,Maybe,May be,3,3,3
16 to 18 years,Higher Secondary School,3 to 4 hours,Yes,No,2,2,3,Sometimes,Rarely,Maybe,Yes,4,3,4
16 to 18 years,Higher Secondary School,3 to 4 hours,Yes,No,2,2,3,Sometimes,Occasionally,Yes,May be,2,1,2
16 to 18 years,Higher Secondary School,3 to 4 hours,No,No,2,2,3,Always,Occasionally,Yes,No,4,3,4
16 to 18 years,Higher Secondary School,3 to 4 hours,No,No,2,2,3,Sometimes,Rarely,Yes,Yes,5,3,5
16 to 18 years,Higher Secondary School,3 to 4 hours,No,No,2,2,3,Sometimes,Never,Maybe,Yes,3,1,3
16 to 18 years,Higher Secondary School,3 to 4 hours,No,No,2,2,2,Sometimes,Never,No,Yes,2,3,2
16 to 18 years,Higher Secondary School,3 to 4 hours,Yes,No,2,2,3,Sometimes,Rarely,Yes,Yes,4,3,4
16 to 18 years,Higher Secondary School,3 to 4 hours,Yes,Yes,1,3,3,Sometimes,All the time,Yes,No,4,4,5
16 to 18 years,Higher Secondary School,3 to 4 hours,Yes,Yes,1,3,3,Sometimes,Occasionally,No,Yes,2,3,2
16 to 18 years,Higher Secondary School,3 to 4 hours,No,Yes,1,2,3,Rarely,Occasionally,Maybe,Yes,1,3,1
16 to 18 years,Higher Secondary School,3 to 4 hours,No,Yes,1,2,3,Rarely,Occasionally,Maybe,Yes,5,2,5
16 to 18 years,Higher Secondary School,3 to 4 hours,No,Yes,1,2,3,Sometimes,Occasionally,Yes,Yes,3,3,3
16 to 18 years,Higher Secondary School,3 to 4 hours,No,No,2,2,3,Always,All the time,Maybe,Yes,2,4,2
16 to 18 years,Higher Secondary School,3 to 4 hours,No,No,2,2,3,Sometimes,Occasionally,Yes,Yes,3,3,3
18 to 22 years,Under Graduate,4 to 5 hours,No,Yes,1,2,3,Rarely,Rarely,Yes,Yes,4,4,4
18 to 22 years,Under Graduate,4 to 5 hours,Yes,Yes,1,2,3,Sometimes,Never,No,No,4,3,4
18 to 22 years,Under Graduate,4 to 5 hours,Yes,Yes,1,2,3,Sometimes,Occasionally,Yes,Yes,4,5,4
13 to 15 years,Secondary School,2 to 3 hours,No,No,2,4,3,Always,Occasionally,Yes,Yes,2,2,2
16 to 18 years,Higher Secondary School,3 to 4 hours,No,No,1,3,3,Sometimes,Never,No,No,2,3,2
16 to 18 years,Higher Secondary School,3 to 4 hours,Yes,Yes,1,3,3,Never,All the time,Yes,Yes,3,4,3
16 to 18 years,Higher Secondary School,3 to 4 hours,No,No,1,3,3,Always,Never,No,May be,4,4,4
16 to 18 years,Higher Secondary School,3 to 4 hours,Yes,No,1,3,3,Sometimes,Never,No,No,5,4,5
16 to 18 years,Higher Secondary School,3 to 4 hours,Yes,May be,2,3,3,Rarely,Rarely,No,No,5,2,5
16 to 18 years,Higher Secondary School,3 to 4 hours,Yes,May be,2,3,3,Sometimes,Rarely,Maybe,No,3,2,3
16 to 18 years,Higher Secondary School,3 to 4 hours,No,May be,2,3,3,Never,Never,No,No,1,1,1
16 to 18 years,Higher Secondary School,3 to 4 hours,Yes,May be,2,3,3,Never,Occasionally,Yes,Yes,5,4,5
16 to 18 years,Higher Secondary School,3 to 4 hours,No,Yes,2,3,3,Rarely,Occasionally,Maybe,No,4,3,4
16 to 18 years,Higher Secondary School,3 to 4 hours,Yes,Yes,2,3,3,Sometimes,Rarely,No,No,3,2,3
16 to 18 years,Higher Secondary School,3 to 4 hours,No,Yes,2,3,3,Always,Occasionally,No,No,5,3,5
16 to 18 years,Higher Secondary School,3 to 4 hours,No,No,2,3,3,Rarely,Occasionally,Yes,Yes,4,3,4
